Method,p,Adj.R2,Cp,BIC,target
Fwd (CV),1,0.013675629886614193,9.967800893135518,-8219.176400686314,ret_XLV_cum5
Bwd (Cp),8,0.032987014045505525,-4.032402839866791,-8198.555382546598,ret_XLV_cum5
Bwd (CV),0,0.0,23.92164633223092,-8210.403673261197,ret_XLV_cum5
Ridge,29,-0.011743885725808312,64.7876839041437,-8025.012875781372,ret_XLV_cum5
Lasso,3,0.008683835914487292,17.39323737569407,-8201.822655309128,ret_XLV_cum5
PCR,13,0.011741249089763706,23.966799781991995,-8145.4522729263435,ret_XLV_cum5
PLS,1,0.0329487704463064,-11.076545605663796,-8240.311305203386,ret_XLV_cum5
Fwd (Cp),11,0.04010291544546718,2.6881501393063445,-10163.006150671705,ret_ZN_cum5
Fwd (CV),0,-4.440892098500626e-16,35.90118529588017,-10184.843535950637,ret_ZN_cum5
Bwd (Cp),11,0.04010291544546718,2.6881501393063445,-10163.006150671705,ret_ZN_cum5
Bwd (CV),0,-4.440892098500626e-16,35.90118529588017,-10184.843535950637,ret_ZN_cum5
Ridge,29,0.019868718646444017,42.59728159640281,-10033.450795107374,ret_ZN_cum5
Lasso,16,0.02486292330851203,24.31900738593731,-10116.322674722735,ret_ZN_cum5
PCR,2,0.008244592421886576,28.74351652421342,-10181.76114170971,ret_ZN_cum5
PLS,1,0.03366154959923884,-0.28935916572459064,-10215.540855057594,ret_ZN_cum5
Fwd (Cp),8,0.03231237533796161,-3.382456958335524,-13460.40782029109,ret_ZT_cum5
Fwd (CV),0,0.0,23.836406685550173,-13473.003035962553,ret_ZT_cum5
Bwd (Cp),8,0.03231237533796161,-3.382456958335524,-13460.40782029109,ret_ZT_cum5
Bwd (CV),0,0.0,23.836406685550173,-13473.003035962553,ret_ZT_cum5
Ridge,29,0.007193450094639009,44.56927418344253,-13307.848686232259,ret_ZT_cum5
Lasso,2,0.005596837802746779,19.688726275997396,-13467.065132680083,ret_ZT_cum5
PCR,14,0.011377669224785225,25.266368376966284,-13401.695064331141,ret_ZT_cum5
PLS,1,0.03377809399613452,-12.064367617216476,-13503.829529869989,ret_ZT_cum5
Fwd (Cp),11,0.05884561096792196,3.4929633558931528,-7873.169069891525,ret_GSPC_cum5
Fwd (CV),0,0.0,58.76884621059662,-7873.887534809252,ret_GSPC_cum5
Bwd (Cp),11,0.05884561096792196,3.4929633558931528,-7873.169069891525,ret_GSPC_cum5
Bwd (CV),0,0.0,58.76884621059662,-7873.887534809252,ret_GSPC_cum5
Ridge,29,0.018863705261867425,65.50583170368463,-7721.3971676734645,ret_GSPC_cum5
Lasso,2,0.022774941013913863,35.024007209865886,-7886.612596368255,ret_GSPC_cum5
PCR,13,0.03657407504885546,30.321012324903222,-7836.191963574136,ret_GSPC_cum5
PLS,1,0.05379858435332374,-0.9008076221059582,-7927.138696178517,ret_GSPC_cum5
Fwd (Cp),8,0.05270900652321797,0.349123510681693,-7299.027685973067,ret_RUT_cum5
Fwd (CV),0,0.0,51.335740697410074,-7288.807379929033,ret_RUT_cum5
Bwd (Cp),8,0.05270900652321797,0.349123510681693,-7299.027685973067,ret_RUT_cum5
Bwd (CV),1,0.021982583174090298,27.683841050609544,-7306.63840878135,ret_RUT_cum5
Ridge,29,0.016064300363167527,61.46187141696896,-7133.26555749463,ret_RUT_cum5
Lasso,2,0.012759149345705434,38.97384291748381,-7290.611401044022,ret_RUT_cum5
PCR,13,0.03731499551686224,22.426776968777858,-7251.935775629829,ret_RUT_cum5
PLS,1,0.04768318167914998,-1.082548386631288,-7335.158824667319,ret_RUT_cum5
Fwd (Cp),8,0.05071961365435185,-6.7045740087239665,-8474.590092511084,ret_CADUSD_cum10
Fwd (CV),0,0.0,41.50132213693655,-8466.616620482007,ret_CADUSD_cum10
Bwd (Cp),8,0.05071961365435185,-6.7045740087239665,-8474.590092511084,ret_CADUSD_cum10
Bwd (CV),1,0.023052995129663856,16.88701445354991,-8485.620469981348,ret_CADUSD_cum10
Ridge,29,0.01885445064077318,49.033205974628345,-8314.116151128517,ret_CADUSD_cum10
Lasso,0,0.0,41.50132213693655,-8466.616620482007,ret_CADUSD_cum10
PCR,6,0.001016150252503123,46.15210340007161,-8431.869891131932,ret_CADUSD_cum10
PLS,1,0.045655386912743734,-8.189513574215198,-8510.689979580256,ret_CADUSD_cum10
Fwd (Cp),4,0.01960212481905077,-7.291724734647914,-8365.861181117123,ret_EURUSD_cum10
Fwd (CV),0,0.0,9.809103167059448,-8368.552965707657,ret_EURUSD_cum10
Bwd (Cp),5,0.02081807027822613,-7.585837285820162,-8361.21913481519,ret_EURUSD_cum10
Bwd (CV),0,0.0,9.809103167059448,-8368.552965707657,ret_EURUSD_cum10
Ridge,29,-0.02785779451517989,67.80906696172428,-8166.23890760793,ret_EURUSD_cum10
Lasso,0,0.0,9.809103167059448,-8368.552965707657,ret_EURUSD_cum10
PCR,15,0.008670159854883397,15.463286783300191,-8288.354225619827,ret_EURUSD_cum10
PLS,2,0.02647636944348153,-16.716922132228547,-8385.34234844424,ret_EURUSD_cum10
Fwd (Cp),7,0.04510417805106204,-3.5007676485477077,-8569.899445790797,ret_GBPUSD_cum10
