Method,p,Adj.R2,Cp,BIC,target
PLS,2,0.035470917481294495,-12.894253228821754,-9736.681615244846,ret_XLV
AR(1),1,-0.0008160868959068424,56.55334544749849,-12120.672838738485,ret_ZN
Fwd (Cp),7,0.05388967591230742,-7.010647235045781,-12074.272172693934,ret_ZN
Fwd (CV),0,0.0,45.97621233820087,-12056.747830262942,ret_ZN
Bwd (Cp),7,0.05388967591230742,-7.010647235045781,-12074.272172693934,ret_ZN
Bwd (CV),1,0.011949297758372612,33.62344731283042,-12063.647659061642,ret_ZN
Ridge,29,0.030773991309777537,40.374921285915434,-11917.33818654177,ret_ZN
Lasso,8,0.03874717854654497,10.760766188153639,-12051.298195280491,ret_ZN
PCR,1,-0.0007332915015589858,47.751016961280584,-12049.987817398283,ret_ZN
PLS,1,0.03275082749167335,10.45191237792892,-12086.436264706206,ret_ZN
AR(1),1,0.005684865394692706,40.4866336323289,-15186.286038285725,ret_ZT
Fwd (Cp),8,0.03735755215886105,1.654269451458049,-15090.883190390268,ret_ZT
Fwd (CV),0,-2.220446049250313e-16,34.8355276815812,-15097.879988717606,ret_ZT
