Method,p,Adj.R2,Cp,BIC,target
Fwd (Cp),7,0.03562825160690786,5.577063498173402,-10707.140078677461,ret_ZN_cum5
Fwd (CV),0,0.0,39.92352778181339,-10708.537531513857,ret_ZN_cum5
Bwd (Cp),11,0.04011940635881761,4.422984970014568,-10688.323101014541,ret_ZN_cum5
Bwd (CV),0,0.0,39.92352778181339,-10708.537531513857,ret_ZN_cum5
Ridge,27,-0.017715825176247257,86.0586625820606,-10526.529873450616,ret_ZN_cum5
Lasso,2,0.008605496582008487,31.88162999224187,-10706.199376786046,ret_ZN_cum5
PCR,1,0.0006473326797359347,40.13800263180224,-10703.242300111557,ret_ZN_cum5
PLS,1,0.034150140209429414,1.2784701840030266,-10741.535858040708,ret_ZN_cum5
Fwd (Cp),7,0.032778030193971186,-3.328861757967161,-14027.783003248098,ret_ZT_cum5
Fwd (CV),0,0.0,27.236961124682466,-14032.494611581735,ret_ZT_cum5
Bwd (Cp),9,0.03361094436349088,-2.2572522445227605,-14016.719121462265,ret_ZT_cum5
Bwd (CV),0,0.0,27.236961124682466,-14032.494611581735,ret_ZT_cum5
Ridge,27,-0.024657531812866562,81.23695839745483,-13842.853122471082,ret_ZT_cum5
Lasso,0,0.0,27.236961124682466,-14032.494611581735,ret_ZT_cum5
PCR,1,-0.0008567768568876755,29.196483066559495,-14025.510441720588,ret_ZT_cum5
PLS,1,0.034369270502396354,-11.215316728896369,-14065.747751251853,ret_ZT_cum5
Fwd (Cp),12,0.055993185008606394,8.346107694600278,-8305.122291997906,ret_GSPC_cum5
Fwd (CV),0,0.0,62.56750989720217,-8312.62262778604,ret_GSPC_cum5
Bwd (Cp),12,0.058819872906156645,5.036313299468475,-8308.489992905466,ret_GSPC_cum5
Bwd (CV),0,0.0,62.56750989720217,-8312.62262778604,ret_GSPC_cum5
Ridge,27,0.025049307014939792,59.15183649369237,-8178.824359800854,ret_GSPC_cum5
Lasso,0,0.0,62.56750989720217,-8312.62262778604,ret_GSPC_cum5
PCR,1,-0.00023269886292087705,63.78780623972352,-8306.338915968827,ret_GSPC_cum5
PLS,1,0.051707101457377114,2.3683360032341625,-8366.2223648795,ret_GSPC_cum5
Fwd (Cp),7,0.05076733266629663,0.8778460792482292,-7691.999642007492,ret_RUT_cum5
Fwd (CV),0,0.0,53.45719197249878,-7675.627964927203,ret_RUT_cum5
Bwd (Cp),9,0.0518862264046156,1.587069296530899,-7681.292782769282,ret_RUT_cum5
Bwd (CV),0,0.0,53.45719197249878,-7675.627964927203,ret_RUT_cum5
Ridge,27,0.02180646152434018,54.200399164103146,-7538.100613576211,ret_RUT_cum5
Lasso,6,0.03733244052239315,15.565786093681709,-7682.233811794263,ret_RUT_cum5
PCR,4,0.014618453861717229,40.162638195703266,-7668.081345812998,ret_RUT_cum5
PLS,1,0.04532849265913497,1.2215122260226963,-7721.699232769592,ret_RUT_cum5
Fwd (Cp),8,0.05040992303321634,-6.431663780043664,-8921.121521692303,ret_CADUSD_cum10
Fwd (CV),0,0.0,44.19490168497987,-8911.188734518259,ret_CADUSD_cum10
Bwd (Cp),8,0.05040992303321634,-6.431663780043664,-8921.121521692303,ret_CADUSD_cum10
Bwd (CV),0,0.0,44.19490168497987,-8911.188734518259,ret_CADUSD_cum10
Ridge,27,-0.024657506735676682,98.19487040081162,-8721.547272891603,ret_CADUSD_cum10
Lasso,1,0.013000119649020592,30.022231018745742,-8919.86117327305,ret_CADUSD_cum10
PCR,1,-0.0006473787219667404,45.91005363983868,-8904.439542042213,ret_CADUSD_cum10
PLS,1,0.04320659568410967,-5.142831486338082,-8954.766740499303,ret_CADUSD_cum10
Fwd (Cp),4,0.01925902174337457,-4.669548468608582,-8843.619411131549,ret_EURUSD_cum10
Fwd (CV),0,0.0,13.138248845876205,-8845.864867837314,ret_EURUSD_cum10
Bwd (Cp),5,0.019925620715286474,-4.413545836744333,-8838.364124343083,ret_EURUSD_cum10
Bwd (CV),0,0.0,13.138248845876205,-8845.864867837314,ret_EURUSD_cum10
Ridge,27,-0.024657504948272013,67.13821641716208,-8656.223408169612,ret_EURUSD_cum10
Lasso,0,0.0,13.138248845876205,-8845.864867837314,ret_EURUSD_cum10
